consumer_id,income,age,house_price,unemployment_rate,urban_dummy,revenue
1,5,46.314644,50.097088,.99304962,1,348.98877
2,5,48.982868,54.616592,.99394637,0,407.6441
3,5,38.100559,58.686802,.99725634,1,549.99579
4,7.6950541,43.88044,79.085518,.98167437,0,553.59064
5,66.245323,40.641262,662.83167,.77316421,1,644.58698
6,23.835976,36.673889,256.56781,.92356312,1,671.73395
7,5,31.37009,50.718548,.99372745,1,755.65332
8,5,42.477436,54.116161,.99805498,1,706.11224
9,5,42.673386,51.201576,.99304682,1,699.59344
10,176.19113,39.303196,1869.2223,.37203714,1,769.20941
11,81.738556,32.223984,817.6297,.71615779,1,608.73315
12,5,38.005306,50.505177,.99860567,1,417.7157
13,16.343821,44.022106,164.3356,.95679229,1,652.82831
14,5,44.839977,50.14946,.94444585,0,565.40778
15,5,35.825893,50.444595,.99649513,1,492.16409
16,14.202591,38.055737,181.95222,.96321112,1,291.99612
17,5.2212801,39.154198,52.563637,.99472499,1,341.51733
18,5,42.129528,51.167614,.99936938,0,396.43127
19,5,41.59692,70.714661,.99546528,1,329.81131
20,21.986494,47.999325,256.64313,.93238193,1,600.13751
21,5,41.508129,51.425102,.9988423,1,497.78708
22,10.185891,46.666279,106.44219,.97917277,1,562.38837
23,5,43.641758,58.438412,.99947113,1,400.38394
24,5,36.824131,60.332054,.99730152,0,545.49554
25,8.781971,33.00301,88.082916,.97461438,1,440.54236
26,5,38.649445,52.014153,.98429763,0,473.63776
27,5,44.139328,52.467331,.98490435,1,519.24994
28,5,38.851639,50.913643,.99742037,1,505.44058
29,5,38.338493,94.286873,.9974938,0,563.00769
30,5,31.961327,51.287457,.99728936,1,675.22626
31,5,37.150887,50.07795,.99242431,0,436.43616
32,5,38.246735,72.561852,.99782711,1,487.86755
33,13.565534,44.093788,137.62714,.96599835,1,595.7522
34,5.9941511,40.352627,62.087868,.98047316,1,515.32733
35,37.41164,35.340176,375.047,.8644132,1,668.17529
36,42.202606,41.963661,422.73877,.86177826,1,469.42847
37,5,40.369526,53.022484,.97929937,1,411.30328
38,5,41.094124,96.929512,.99779004,1,477.1799
39,5,43.588886,52.019951,.99676764,1,238.20546
40,6.6815796,43.544693,67.96637,.99312603,1,687.26263
41,21.208324,37.944237,222.99361,.93632442,0,347.35696
42,9.8294115,39.863922,142.96489,.98114437,1,481.13254
43,77.495117,41.091217,840.55005,.73347253,1,456.71976
44,5.081491,38.633976,51.191635,.98848754,1,585.85272
45,5,38.799763,60.349396,.97649181,1,696.30859
46,25.350412,39.727398,269.42084,.88190919,0,495.70593
47,13.383197,33.655712,134.4687,.96444863,1,564.68707
48,10.429811,49.60648,113.40483,.97589707,1,632.29321
49,135.63503,35.724976,1365.1697,.52051067,1,527.66681
50,5,32.495182,50.298008,.98482811,1,382.94189
51,5,47.945248,50.132816,.99827224,1,452.72858
52,5,44.629429,59.526424,.99962389,1,607.48853
53,5,44.802471,51.341244,.99196172,1,490.33636
54,5,36.268555,50.992657,.9874838,1,571.83032
55,5,39.749435,51.103794,.99387997,1,499.34341
56,5,35.911797,57.286064,.99701428,1,624.46265
57,5,36.940853,155.37405,.98755717,1,410.36063
58,5,35.251411,52.810352,.98184901,1,466.2981
59,8.8475208,41.657227,89.900841,.98458785,1,410.80133
60,5.0600567,32.092468,60.05777,.99592137,1,505.62411
61,13.044877,43.424011,140.61549,.96421939,1,466.07184
62,7.9311924,39.694946,91.266983,.98752606,0,520.09845
63,46.614605,38.049328,470.23334,.84460741,0,499.98764
64,5,37.137794,81.326462,.99877685,1,580.10101
65,15.620658,38.225918,158.68172,.95845312,1,523.20056
66,5,39.059631,53.331284,.99673796,1,647.03601
67,5,44.498596,50.20649,.99932986,1,508.89355
68,21.528002,37.141239,218.39861,.93673968,1,501.05264
69,5,31.556383,50.38525,.99653542,1,513.53241
70,5.8538704,42.695072,84.280083,.99590904,1,588.39093
71,31.227793,41.944958,331.58362,.8949303,1,680.49762
72,5,45.031216,51.703369,.98335028,1,386.33655
73,5,41.371948,53.595604,.99911571,1,506.51535
74,7.5649762,40.697197,76.310516,.98346138,1,575.81219
75,6.2840662,36.541355,82.901924,.98799497,0,503.79654
76,13.127755,40.744083,138.95023,.96953279,1,467.00668
77,5,42.029526,71.629272,.99400127,1,606.15741
78,5,43.913544,50.661842,.97460455,1,595.30981
79,56.762699,27.823799,569.62939,.80929476,0,574.19623
80,5,42.087055,50.552357,.99793488,0,263.08395
81,5,41.952835,53.251347,.99932194,1,588.86737
82,5,38.240677,50.031612,.98695809,1,535.82947
83,5,40.66,50.506611,.99118823,1,500.12949
84,47.50872,42.838181,479.90652,.83733946,1,693.62823
85,5,43.336994,60.261612,.99908167,0,584.04871
86,5,41.163151,52.039974,.97513157,1,634.38977
87,113.58902,33.375668,1141.8625,.59006387,1,621.93921
88,5,42.512417,79.01651,.98888081,0,503.43637
89,5,36.780869,52.090996,.99649584,1,563.49512
90,14.466397,40.521393,146.49059,.96119392,0,558.13171
91,6.1416516,34.762936,63.773598,.99512994,1,529.80908
92,5,38.267193,59.642147,.99662983,1,466.72318
93,5,43.622585,149.53403,.99651933,1,407.70117
94,5,40.795368,65.821976,.9954142,0,592.93451
95,5,46.774765,50.805397,.98075509,1,541.0058
96,5,40.021938,50.425373,.99224317,1,335.92822
97,9.3875284,47.385666,95.232643,.98283869,1,539.96918
98,7.6270304,32.516598,76.498657,.97372895,1,490.0741
99,5,42.761383,50.108421,.99715167,1,447.51068
100,92.210991,39.909073,922.98444,.67405689,1,829.91461
101,5,44.213882,67.175102,.99530107,1,731.39417
102,10.751554,45.064209,216.3522,.97684562,1,488.77203
103,5,34.532063,50.96957,.99769217,1,474.61264
104,5,35.557301,86.860313,.99954456,0,447.71988
105,5,38.77573,50.905544,.99941224,1,530.23682
106,12.413185,43.266617,136.01184,.97025895,0,416.42477
107,5,44.343067,51.495014,.995076,1,466.67639
108,12.600106,40.153713,131.8784,.97017425,1,526.60565
109,5,36.968533,56.121128,.98086584,1,552.61304
110,7.5942149,37.582222,76.140236,.98768121,0,411.7829
111,5,39.631744,61.555168,.99563521,1,613.10602
112,18.977854,36.492252,224.53644,.94785446,1,479.32111
113,5,42.505081,50.682003,.99238008,0,471.31955
114,5,34.28516,53.657547,.99549341,0,372.50726
115,14.996537,43.904919,152.26508,.95959312,1,354.53125
116,5,44.33474,71.309875,.99932575,1,590.33246
117,51.530922,41.45916,517.80078,.82518983,1,723.60034
118,8.7089596,35.321236,118.60309,.98332816,0,548.2923
119,9.0069771,40.776443,92.547256,.9765085,1,670.51001
120,14.866605,38.900421,155.62347,.96017367,0,618.79614
121,5.371541,41.452213,55.668346,.99408466,1,582.24091
122,5,37.9547,59.28059,.99960679,1,569.30499
123,8.1972685,38.55732,84.283264,.98677272,0,399.11505
124,5,35.848274,53.109058,.99658948,1,613.20013
125,70.714226,37.940445,707.69336,.75881279,1,749.92261
