consumer_id,revenue,ad_exposure,recency,frequency,monetary_value,age,mobile
1,50.108791,0,10,7,5,24,1
2,46.752033,1,4,6,6,56,1
3,58.066216,1,4,5,10,33,1
4,36.502415,0,1,2,5,52,1
5,41.131004,1,2,6,5,36,1
6,43.608025,1,4,4,6,31,1
7,45.94923,0,9,1,7,40,0
8,49.12265,0,10,3,6,22,0
9,34.237423,0,3,10,2,55,1
10,59.62751,0,7,10,8,48,1
11,50.257343,0,10,6,6,42,1
12,42.43544,0,7,10,3,55,1
13,40.774689,1,6,7,3,52,1
14,59.225624,0,10,6,10,53,1
15,29.968563,0,2,8,2,50,1
16,60.297047,0,7,9,10,38,1
17,44.160305,0,4,1,7,41,0
18,51.397057,0,2,9,8,51,1
19,47.984325,0,1,2,10,37,1
20,54.018356,0,5,9,7,51,1
21,35.934162,1,6,6,1,51,1
22,39.698967,0,7,1,4,44,0
23,49.819767,1,8,5,5,32,1
24,45.687527,1,5,4,7,35,1
25,26.792397,1,3,3,1,38,1
26,48.972355,1,1,5,7,46,1
27,55.741154,0,10,7,7,23,1
28,40.666313,0,8,10,2,47,1
29,57.961655,0,1,9,10,39,1
30,38.286041,1,2,6,4,37,1
31,44.623581,0,3,10,4,43,1
32,27.322313,0,8,1,1,44,0
33,40.48455,0,6,10,3,38,1
34,48.098152,1,8,5,5,33,1
35,52.946041,1,8,4,8,44,1
36,48.454227,0,10,4,6,51,0
37,45.531235,1,6,3,6,56,1
38,45.84684,0,9,2,5,52,0
39,41.817307,1,7,3,5,48,1
40,45.220161,1,2,4,7,33,1
41,47.609173,1,4,3,8,26,0
42,54.222656,1,7,2,10,56,0
43,64.260498,1,8,6,10,42,1
44,45.80761,1,5,4,6,28,1
45,41.133884,0,3,10,4,47,1
46,49.221355,0,6,9,6,43,1
47,59.496296,0,10,1,10,50,0
48,41.110355,0,6,1,6,35,0
49,54.463169,1,7,4,8,37,1
50,32.171806,1,6,4,1,41,1
51,45.049488,0,5,9,4,37,1
52,33.940281,1,1,5,3,37,1
53,38.424198,1,7,3,3,53,1
54,46.37397,1,3,8,6,41,1
55,40.546329,1,1,6,4,21,1
56,55.821125,1,5,8,7,40,1
57,38.927361,0,10,1,3,30,0
58,46.748569,1,4,2,8,29,1
59,50.037643,1,2,6,8,33,1
60,57.293999,1,7,3,9,50,0
61,44.712852,1,3,8,4,39,1
62,38.786869,1,5,2,3,23,0
63,42.031307,1,8,6,3,42,1
64,60.520767,0,7,10,10,42,1
65,44.329262,0,8,1,7,53,0
66,37.725204,1,7,6,1,40,1
67,45.093922,1,6,5,5,28,1
68,40.758892,1,8,7,2,49,1
69,58.553299,1,7,4,8,49,1
70,33.319374,0,10,3,2,27,0
71,54.635632,0,2,10,9,35,1
72,40.712437,0,3,9,4,45,1
73,35.223759,1,1,3,5,52,0
74,33.929237,0,4,9,1,39,1
75,48.202641,1,3,6,6,56,1
76,41.838539,1,4,7,4,42,1
