rides_request,price,rides_accepted
3050,3,1727
4532,3.5,2744
2547,2.5,1776
3644,3,2357
4527,3.5,2714
3530,3,2234
2609,2.5,1841
3477,3,2100
3300,3,2003
4177,3.5,2345
2263,2.5,1486
4990,3.5,3094
2064,2.5,1337
2708,2.5,1922
2679,2.5,1819
2542,2.5,1324
1958,2,1447
3831,3,2515
3423,3,2168
3813,3,2519
3427,3,2145
3855,3,2514
4961,3.5,3138
1571,2,1275
4686,3.5,2837
1917,2,1534
4370,3.5,2537
2775,2.5,1893
2720,2.5,1206
2036,2.5,1249
4027,3.5,1851
3538,3,2259
2936,2.5,2117
2955,2.5,1956
3166,3,1921
4928,3.5,2877
4525,3.5,2685
4297,3.5,2537
2396,2.5,1554
1842,2,1521
3211,3,1977
2631,2.5,1842
2415,2.5,1611
2140,2.5,1396
2715,2.5,1765
2283,2.5,1474
4344,3.5,2375
3769,3,2458
2821,2.5,2010
1593,2,1311
3021,3,1791
1961,2,1595
1899,2,1554
4947,3.5,2907
4090,3.5,2362
1867,2,1497
3191,3,1913
2240,2.5,1423
2310,2.5,1507
2819,2.5,1939
3321,3,2057
2675,2.5,1821
1759,2,1317
3258,3,1784
3303,3,2018
3709,3,2370
1427,2,1123
2505,2.5,1716
1874,2,1427
4740,3.5,2682
4112,3.5,2397
3075,3,1858
1415,2,1141
2125,2.5,1376
4773,3.5,2973
3182,3,1873
1506,2,955
2386,2.5,1545
4721,3.5,2933
4441,3.5,2293
2208,2.5,1457
4295,3.5,2555
3830,3,2359
1937,2,1462
2944,2.5,2019
4872,3.5,2928
3273,3,1776
4914,3.5,3058
1517,2,926
2745,2.5,1958
3487,3,2195
4557,3.5,1458
2447,2.5,1645
2730,2.5,1911
4908,3.5,3036
4272,3.5,2480
3561,3,2294
4473,3.5,2703
4983,3.5,3044
3787,3,2339
2179,2.5,1290
4217,3.5,2475
4744,3.5,2815
3707,3,2372
3905,3,2589
2248,2.5,1442
3850,3,2314
3416,3,2151
1798,2,1488
2855,2.5,2044
4717,3.5,2826
4235,3.5,2323
3736,3,2312
1881,2,1571
2453,2.5,1663
2263,2.5,1501
4087,3.5,2165
2374,2.5,1584
2843,2.5,2035
3235,3,1955
1738,2,1425
3606,3,2310
3445,3,2178
3412,3,2139
4734,3.5,2892
2132,2.5,1172
3018,3,1800
1851,2,1537
4621,3.5,2827
3050,3,1795
2330,2.5,1397
4723,3.5,2887
4468,3.5,2618
2757,2.5,1921
4783,3.5,2914
3959,3,2634
3371,3,2108
2385,2.5,1593
2842,2.5,1840
2854,2.5,1851
4552,3.5,2773
3482,3,2175
1549,2,1144
1656,2,1334
4644,3.5,2670
1518,2,1035
4417,3.5,2565
2353,2.5,1421
2938,2.5,2131
4820,3.5,2975
2684,2.5,1791
2950,2.5,2144
1575,2,1276
1896,2,1556
1472,2,965
2187,2.5,1249
2973,2.5,2162
2144,2.5,1338
1973,2,1552
2409,2.5,1511
3708,3,2320
1797,2,1443
3844,3,2543
2981,2.5,2135
3892,3,2596
4302,3.5,2537
4136,3.5,2417
2899,2.5,2082
4295,3.5,2489
3572,3,2266
4241,3.5,2497
2725,2.5,1930
4757,3.5,2947
1851,2,1514
1829,2,1466
3623,3,2292
1561,2,1257
3119,3,1803
2220,2.5,1363
4917,3.5,3106
3523,3,2251
2664,2.5,1854
